,conn_id,duration,proto,service,src_bytes,dst_bytes,flag,urgent,land,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,dst_host_serror_rate,dst_host_rerror_rate,contains_dnp3_pckt,tot_dnp3_payload_len,min_payload_len,disable_cold_or_warm_in_conn,func_code_not_supported_count,rttd,
52,2302,27.80369496,tcp,20000,1859,1864,SF,0,0,0,0,0,0,0,0,0,0,0,51,51,1,0,0,0,0,0,0,0,TRUE,783,8,FALSE,0,0.000165307,normal
53,2343,35.83755112,tcp,20000,2159,2030,SF,0,0,0,0,0,0,0,0,0,0,0,52,52,1,0,0,0,0,0,0,0,TRUE,825,8,FALSE,0,0.000165307,normal
54,2390,28.79602289,tcp,20000,1859,1864,SF,0,0,0,0,0,0,0,0,0,0,0,53,53,1,0,0,0,0,0,0,0,TRUE,783,8,FALSE,0,0.000165307,normal
55,2431,13.78783298,tcp,20000,1409,1615,SF,0,0,0,0,0,0,0,0,0,0,0,54,54,1,0,0,0,0,0,0,0,TRUE,720,8,FALSE,0,0.000165307,normal
56,2463,30.83184314,tcp,20000,2009,1947,SF,0,0,0,0,0,0,0,0,0,0,0,55,55,1,0,0,0,0,0,0,0,TRUE,804,8,FALSE,0,0.000165307,normal
57,2507,44.84248209,tcp,20000,2309,2113,SF,0,0,0,0,0,0,0,0,0,0,0,56,56,1,0,0,0,0,0,0,0,TRUE,846,8,FALSE,0,0.000165307,normal
58,2557,47.82112598,tcp,20000,2459,2196,SF,0,0,0,0,0,0,0,0,0,0,0,57,57,1,0,0,0,0,0,0,0,TRUE,867,8,FALSE,0,0.000165307,normal
59,2610,53.87563992,tcp,20000,2609,2279,SF,0,0,0,0,0,0,0,0,0,0,0,58,58,1,0,0,0,0,0,0,0,TRUE,888,8,FALSE,0,0.000165307,normal
60,2666,27.80863309,tcp,20000,1859,1864,SF,0,0,0,0,0,0,0,0,0,0,0,59,59,1,0,0,0,0,0,0,0,TRUE,783,8,FALSE,0,0.000165307,normal
61,2707,50.85906315,tcp,20000,2609,2279,SF,0,0,0,0,0,0,0,0,0,0,0,60,60,1,0,0,0,0,0,0,0,TRUE,888,8,FALSE,0,0.000165307,normal
62,2763,24.795187,tcp,20000,1709,1781,SF,0,0,0,0,0,0,0,0,0,0,0,61,61,1,0,0,0,0,0,0,0,TRUE,762,8,FALSE,0,0.000165307,normal
63,2801,26.81086087,tcp,20000,1859,1864,SF,0,0,0,0,0,0,0,0,0,0,0,62,62,1,0,0,0,0,0,0,0,TRUE,783,8,FALSE,0,0.000165307,normal
64,2842,52.86862206,tcp,20000,2609,2279,SF,0,0,0,0,0,0,0,0,0,0,0,63,63,1,0,0,0,0,0,0,0,TRUE,888,8,FALSE,0,0.000165307,normal
65,2898,54.87150693,tcp,20000,2609,2279,SF,0,0,0,0,0,0,0,0,0,0,0,64,64,1,0,0,0,0,0,0,0,TRUE,888,8,FALSE,0,0.000165307,normal
66,2954,47.86509895,tcp,20000,2459,2196,SF,0,0,0,0,0,0,0,0,0,0,0,65,65,1,0,0,0,0,0,0,0,TRUE,867,8,FALSE,0,0.000165307,normal
67,3007,26.84339285,tcp,20000,1859,1864,SF,0,0,0,0,0,0,0,0,0,0,0,66,66,1,0,0,0,0,0,0,0,TRUE,783,8,FALSE,0,0.000165307,normal
68,3048,8939.682714,tcp,20000,6627,6173,SF,0,0,0,0,0,0,0,0,0,0,0,67,67,1,0,0,0,0,0,0,0,TRUE,2496,8,FALSE,0,0.000165307,normal
69,3107,4.751059055,tcp,20000,1109,1449,SF,0,0,0,0,0,0,0,0,0,0,0,68,68,1,0,0,0,0,0,0,0,TRUE,678,8,FALSE,0,0.000165307,normal
70,3133,55.86637378,tcp,20000,2759,2362,SF,0,0,0,0,0,0,0,0,0,0,0,69,69,1,0,0,0,0,0,0,0,TRUE,909,8,FALSE,0,0.000165307,normal
71,3192,16.82739806,tcp,20000,1559,1698,SF,0,0,0,0,0,0,0,0,0,0,0,70,70,1,0,0,0,0,0,0,0,TRUE,741,8,FALSE,0,0.000165307,normal
72,3227,33.82986903,tcp,20000,2009,1947,SF,0,0,0,0,0,0,0,0,0,0,0,71,71,1,0,0,0,0,0,0,0,TRUE,804,8,FALSE,0,0.000165307,normal
73,3271,57.86331797,tcp,20000,2759,2362,SF,0,0,0,0,0,0,0,0,0,0,0,72,72,1,0,0,0,0,0,0,0,TRUE,909,8,FALSE,0,0.000165307,normal
74,3330,57.89463687,tcp,20000,2759,2362,SF,0,0,0,0,0,0,0,0,0,0,0,73,73,1,0,0,0,0,0,0,0,TRUE,909,8,FALSE,0,0.000165307,normal
75,3389,16.78780794,tcp,20000,1559,1698,SF,0,0,0,0,0,0,0,0,0,0,0,74,74,1,0,0,0,0,0,0,0,TRUE,741,8,FALSE,0,0.000165307,normal
76,3424,24.78217912,tcp,20000,1709,1781,SF,0,0,0,0,0,0,0,0,0,0,0,75,75,1,0,0,0,0,0,0,0,TRUE,762,8,FALSE,0,0.000165307,normal
77,3462,44.83810687,tcp,20000,2309,2113,SF,0,0,0,0,0,0,0,0,0,0,0,76,76,1,0,0,0,0,0,0,0,TRUE,846,8,FALSE,0,0.000165307,normal
78,3512,17.80049396,tcp,20000,1559,1698,SF,0,0,0,0,0,0,0,0,0,0,0,77,77,1,0,0,0,0,0,0,0,TRUE,741,8,FALSE,0,0.000165307,normal
79,3547,6.754965067,tcp,20000,1259,1532,SF,0,0,0,0,0,0,0,0,0,0,0,78,78,1,0,0,0,0,0,0,0,TRUE,699,8,FALSE,0,0.000165307,normal
80,3576,28.82246614,tcp,20000,1859,1864,SF,0,0,0,0,0,0,0,0,0,0,0,79,79,1,0,0,0,0,0,0,0,TRUE,783,8,FALSE,0,0.000165307,normal
81,3617,58.88993812,tcp,20000,2759,2362,SF,0,0,0,0,0,0,0,0,0,0,0,80,80,1,0,0,0,0,0,0,0,TRUE,909,8,FALSE,0,0.000165307,normal
82,3676,46.83791709,tcp,20000,2459,2196,SF,0,0,0,0,0,0,0,0,0,0,0,81,81,1,0,0,0,0,0,0,0,TRUE,867,8,FALSE,0,0.000165307,normal
83,3729,54.88836002,tcp,20000,2609,2279,SF,0,0,0,0,0,0,0,0,0,0,0,82,82,1,0,0,0,0,0,0,0,TRUE,888,8,FALSE,0,0.000165307,normal
84,3785,29.81542993,tcp,20000,1859,1864,SF,0,0,0,0,0,0,0,0,0,0,0,83,83,1,0,0,0,0,0,0,0,TRUE,783,8,FALSE,0,0.000165307,normal
85,3826,52.85324812,tcp,20000,2609,2279,SF,0,0,0,0,0,0,0,0,0,0,0,84,84,1,0,0,0,0,0,0,0,TRUE,888,8,FALSE,0,0.000165307,normal
86,3882,39.82925701,tcp,20000,2159,2030,SF,0,0,0,0,0,0,0,0,0,0,0,85,85,1,0,0,0,0,0,0,0,TRUE,825,8,FALSE,0,0.000165307,normal
87,3929,10.766572,tcp,20000,1409,1615,SF,0,0,0,0,0,0,0,0,0,0,0,86,86,1,0,0,0,0,0,0,0,TRUE,720,8,FALSE,0,0.000165307,normal
88,3961,7.762274027,tcp,20000,1259,1532,SF,0,0,0,0,0,0,0,0,0,0,0,87,87,1,0,0,0,0,0,0,0,TRUE,699,8,FALSE,0,0.000165307,normal
89,3990,3.759829998,tcp,20000,1109,1449,SF,0,0,0,0,0,0,0,0,0,0,0,88,88,1,0,0,0,0,0,0,0,TRUE,678,8,FALSE,0,0.000165307,normal
90,4016,25.80790806,tcp,20000,1859,1864,SF,0,0,0,0,0,0,0,0,0,0,0,89,89,1,0,0,0,0,0,0,0,TRUE,783,8,FALSE,0,0.000165307,normal
91,4057,54.86524487,tcp,20000,2609,2279,SF,0,0,0,0,0,0,0,0,0,0,0,90,90,1,0,0,0,0,0,0,0,TRUE,888,8,FALSE,0,0.000165307,normal
92,4113,4581.458152,tcp,20000,4768,4309,SF,0,0,0,0,0,0,0,0,0,0,0,91,91,1,0,0,0,0,0,0,0,TRUE,1713,8,FALSE,0,0.000165307,normal
93,4163,57.90025592,tcp,20000,2759,2362,SF,0,0,0,0,0,0,0,0,0,0,0,92,92,1,0,0,0,0,0,0,0,TRUE,909,8,FALSE,0,0.000165307,normal
94,4222,51.87520003,tcp,20000,2609,2279,SF,0,0,0,0,0,0,0,0,0,0,0,93,93,1,0,0,0,0,0,0,0,TRUE,888,8,FALSE,0,0.000165307,normal
95,4278,36.85523105,tcp,20000,2159,2030,SF,0,0,0,0,0,0,0,0,0,0,0,94,94,1,0,0,0,0,0,0,0,TRUE,825,8,FALSE,0,0.000165307,normal
96,4325,57.90047503,tcp,20000,2759,2362,SF,0,0,0,0,0,0,0,0,0,0,0,95,95,1,0,0,0,0,0,0,0,TRUE,909,8,FALSE,0,0.000165307,normal
97,4384,53.88106894,tcp,20000,2609,2279,SF,0,0,0,0,0,0,0,0,0,0,0,96,96,1,0,0,0,0,0,0,0,TRUE,888,8,FALSE,0,0.000165307,normal
98,4440,14.78880501,tcp,20000,1409,1615,SF,0,0,0,0,0,0,0,0,0,0,0,97,97,1,0,0,0,0,0,0,0,TRUE,720,8,FALSE,0,0.000165307,normal
99,4472,52.88425612,tcp,20000,2609,2279,SF,0,0,0,0,0,0,0,0,0,0,0,98,98,1,0,0,0,0,0,0,0,TRUE,888,8,FALSE,0,0.000165307,normal
100,4528,59.88489294,tcp,20000,2759,2362,SF,0,0,0,0,0,0,0,0,0,0,0,99,99,1,0,0,0,0,0,0,0,TRUE,909,8,FALSE,0,0.000165307,normal
101,4587,13.76302314,tcp,20000,1409,1615,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,720,8,FALSE,0,0.000165307,normal
102,4619,47.84335208,tcp,20000,2459,2196,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,867,8,FALSE,0,0.000165307,normal
103,4672,29.80096793,tcp,20000,1859,1864,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,783,8,FALSE,0,0.000165307,normal
104,4713,25.79479408,tcp,20000,1859,1864,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,783,8,FALSE,0,0.000165307,normal
105,4754,43.87530398,tcp,20000,2309,2113,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,846,8,FALSE,0,0.000165307,normal
106,4804,53.89246297,tcp,20000,2609,2279,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,888,8,FALSE,0,0.000165307,normal
107,4860,16.81527901,tcp,20000,1559,1698,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,741,8,FALSE,0,0.000165307,normal
108,4895,33.83315706,tcp,20000,2009,1947,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,804,8,FALSE,0,0.000165307,normal
109,4939,48.87849498,tcp,20000,2459,2196,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,867,8,FALSE,0,0.000165307,normal
110,4992,18.78211308,tcp,20000,1559,1698,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,741,8,FALSE,0,0.000165307,normal
111,5027,11.79795814,tcp,20000,1409,1615,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,720,8,FALSE,0,0.000165307,normal
112,5059,10.78444314,tcp,20000,1409,1615,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,720,8,FALSE,0,0.000165307,normal
113,5091,58.91085291,tcp,20000,2759,2362,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,909,8,FALSE,0,0.000165307,normal
114,5150,17.77575302,tcp,20000,1559,1698,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,741,8,FALSE,0,0.000165307,normal
115,5185,48.84603786,tcp,20000,2459,2196,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,867,8,FALSE,0,0.000165307,normal
116,5238,53.85195613,tcp,20000,2609,2279,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,888,8,FALSE,0,0.000165307,normal
117,5294,5.746407986,tcp,20000,1259,1532,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,699,8,FALSE,0,0.000165307,normal
118,5323,22.81463003,tcp,20000,1709,1781,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,762,8,FALSE,0,0.000165307,normal
119,5361,32.78692722,tcp,20000,2009,1947,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,804,8,FALSE,0,0.000165307,normal
120,5405,21.80170894,tcp,20000,1709,1781,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,762,8,FALSE,0,0.000165307,normal
121,5443,21.76660991,tcp,20000,1709,1781,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,762,8,FALSE,0,0.000165307,normal
122,5481,50.85054708,tcp,20000,2609,2279,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,888,8,FALSE,0,0.000165307,normal
123,5537,5.764583111,tcp,20000,1259,1532,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,699,8,FALSE,0,0.000165307,normal
124,5566,25.82363319,tcp,20000,1859,1864,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,783,8,FALSE,0,0.000165307,normal
125,5607,25.80261612,tcp,20000,1859,1864,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,783,8,FALSE,0,0.000165307,normal
126,5648,55.89070606,tcp,20000,2759,2362,SF,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,TRUE,909,8,FALSE,0,0.000165307,normal
